Glamorous and pure-voiced as ever, Ms. Collins sang Joni Mitchell's "For Free" -- about an encounter with a street-corner clarinetist, to which Mr. Stoltzman contributed a clarinet obligatto -- and Mr. Douglas's lush setting of a Gaelic blessing, "Deep Peace	Deep Peace" featured a slide show of lovely but predictable images of clouds, beaches, deserts, sunsets, etc	3
It was all too mellow to be believed	they probably would have gotten away with it, had they not felt compelled to add Ms. Collins's signature tune, "Amazing Grace," and ask for audience participation	1
Was this why some of the audience departed before or during the second half	was it because Ms. Collins had gone	3
Was this why some of the audience departed before or during the second half	was it because Ms. Collins had gone	3
Or was it	Ms. Collins had gone	2
Either way it was a pity	Mr. Stolzman offered the most substantial music of the evening just after intermission: Steve Reich's "New York Counterpoint," one of a series of Reich works that juxtapose a live performer with recorded tracks of his or her own playing	2
He warned us in advance that "New York Counterpoint" lasts 11 1/2 minutes	He unfortunately illustrated this intricate, jazzy tapestry with Mr. Pearson's images, this time of geometric or repeating objects, in a kitschy mirroring of the musical structure that was thoroughly distracting from Mr. Reich's piece and Mr. Stoltzman's elegant execution of it	3
It was enjoyable to hear accomplished jazz without having to sit in a smoke-filled club	like the first half, much of it was easy to take and ultimately forgettable	1
Managers and presenters insist that chamber music concerts are a hard sell	can audiences really enjoy them only if the music is purged of threatening elements, served up in bite-sized morsels and accompanied by visuals	1
but can audiences really enjoy them	the music is purged of threatening elements, served up in bite-sized morsels and accompanied by visuals	2
It was not an unpleasant evening, certainly, thanks to the high level of performance, the compositional talents of Mr. Douglas, and the obvious sincerity with which Mr. Stoltzman chooses his selections	it was neither deep nor lasting: light entertainment that was no substitute for an evening of Brahms	1
that he rarely gave his blessing to the claptrap that passes for "consensus" in various international institutions	he liberated the U.S. from one of the world's most corrupt organizations -- UNESCO	3
In fact, he liberated the U.S. from one of the world's most corrupt organizations -- UNESCO	the remaining members have been desperate for the United States to rejoin this dreadful group	4
Now UNESCO apologists are lobbying President Bush to renege on President Reagan's decision to depart	we can think of many reasons to stay out for the foreseeable future and well beyond	1
The U.S., along with Britain and Singapore, left the agency	its anti-Western ideology, financial corruption and top leadership got out of hand	4
when several of his top aides were uncovered as KGB plants and ejected from France	when a mysterious office fire was set just before Congress sent accountants to trace U.S. funds	3
The personal antics of agency Director Amadou-Mahtar M'Bow drew much attention	and a mysterious office fire was set just before Congress sent accountants to trace U.S. funds	4
and when a mysterious office fire was set	Congress sent accountants to trace U.S. funds	4
Mr. M'Bow was an extreme case	even his replacement, the more personally genial Spanish biochemist Federico Mayor, has had little success at achieving reforms	1
Glasnost may be partly responsible	The exaggerated ideological approach undermined tolerance intrinsic to UNESCO	1
Soviets remain in charge of education programs, a former head of an African military tribunal for executions is in charge of culture	a hard-line Polish communist in exile directs the human-rights and peace division	3
that seems to get muddled	delivered through U.N. organizations	4
that seems to get muddled	delivered through U.N. organizations	2
This can have its purposes at times	there's no reason to cloud the importance and allure of Western concepts of freedom and justice	1
that prevents the production of pollen	The gene can prevent a plant from fertilizing itself	2
The gene thus can prevent a plant from fertilizing itself	Such so-called male-sterile plants can be fertilized by pollen from another strain of the plant	4
Such so-called male-sterile plants can then be fertilized by pollen from another strain of the plant	producing hybrid seed	2
That's	the male part, the tassel, and the female, the ear, are some distance apart on the corn plant	2
They sow a row of male-fertile plants nearby	which pollinate the male-sterile plants	4
The first hybrid corn seeds produced using this mechanical approach were introduced in the 1930s	they yielded as much as 20% more corn than naturally pollinated plants	3
In China, a great number of workers are engaged in pulling out the male organs of rice plants using tweezers	one-third of rice produced in that country is grown from hybrid seeds	3
The sterilizing gene is expressed	the pollen is about to develop	4
The sterilizing gene is expressed just before the pollen is about to develop	it deactivates the anthers of every flower in the plant	3
At Plant Genetic Systems, researchers have isolated a pollen-inhibiting gene that can be inserted in a plant to confer male sterility	The researchers pulled off a second genetic engineering trick in order to get male-sterile plants in large enough numbers to produce a commercial hybrid seed crop	3
They attached a second gene, for herbicide resistance, to the pollen-inhibiting gene	Both genes are inserted into a few greenhouse plants	4
Both genes are then inserted into a few greenhouse plants	which are pollinated and allowed to mature and produce seed	4
that half of the plants springing from these greenhouse-produced seeds will be male sterile and herbicide resistant	half will be male fertile and herbicide susceptible	3
that the genetic approach will obviate the need for mechanical emasculation of anthers	virtually all corn seeds currently planted are hybrids	1
One technique developed by some of these companies involves a chemical spray supposed to kill only a plant's pollen	there have been problems with chemical sprays damaging plants' female reproductive organs and concern for the toxicity of such chemical sprays to humans, animals and beneficial insects	1
But there have been problems with chemical sprays damaging plants' female reproductive organs and concern for the toxicity of such chemical sprays to humans, animals and beneficial insects	the company's chemical spray overcomes these problems and is "gentle on the female organ	1
That's	pollination is more complex and involves insects as carriers in crops such as cotton	2
because pollination is more complex and involves insects as carriers in crops such as cotton	easy in corn because the carrier is wind	1
while easy in corn	the carrier is wind	2
you can sterilize	to successfully pollinate the plant	4
Plant Genetic's success in creating genetically engineered male steriles doesn't automatically mean it would be simple to create hybrids in all crops	he is negotiating with Plant Genetic to acquire the technology to try breeding hybrid cotton	1
Unwilling to put up new money for New Zealand	those debts are repaid	2
Barred by its budget law from making any new domestic bond issues, Wellington's Debt Management Office had been casting abroad to raise the 3 billion New Zealand dollars (US$1.76 billion) to NZ$4 billion it needs to come up with by the end of its fiscal year next June 30	With Japan's cash-flush banks aligned against it raising money may be difficult	1
Not only can they block Wellington from raising money in Japan	as the largest underwriters in the Eurobond market, they might be able to scuttle borrowings there, too	3
I think it would be irresponsible	I am not about to be blackmailed by Japanese banks or any other international interests	3
Both sides are jealously guarding their turf	relations have been at a flashpoint for months	3
The banks badly want to break into all aspects of the securities business	the securities companies -- most of them smaller than the banks -- are seeking access only to limited kinds of banking that wouldn't open them to the full brunt of competition from the banks	3
The banks badly want to break into all aspects of the securities business	the securities companies -- most of them smaller than the banks -- are seeking access only to limited kinds of banking that wouldn't open them to the full brunt of competition from the banks	4
Nomura, the world's biggest securities company largely by virtue of its protected home field, and Industrial Bank of Japan, Japan's most innovative and aggressive bank in capital markets abroad, captain the opposing sides	their suspicions of each other run deep	3
Nomura started a credit-card venture with American Express Co. that allowed cardholders to use their Nomura securities accounts like a bank account, attracting the wrath of banks	Industrial Bank of Japan started up a London securities subsidiary that sells Japanese stocks to non-Japanese institutions overseas, a move that stirred the anger of the stock brokerage firms	3
Babies, kiddies," growls their manager -- a fellow named Earl Weaver, who, in a different time, handled four World Series teams and now handles the Gold Coast Suns. "Old-time kiddies," he says	for the next few months, these boys of summers long past are going to be reveling in an Indian summer of the soul	1
it's time for a new season to begin	the baseball season is officially over	2
there is one more	the baby-faced heroes of today reclaim these ballparks for spring training	4
he had the idea last January	lying on a beach in Australia	4
730 responded	he sent letters offering 1,250 retired major leaguers the chance of another season	4
who are eligible at 32	life behind the plate is so rough	2
Others, just released from the majors, hope the senior league will be their bridge back into the big-time	as they hurl fireballs that smolder rather than burn, and relive old duels in the sun, it's clear that most are there to make their fans cheer again or recapture the camaraderie of seasons past or prove to themselves and their colleagues that they still have it -- or something close to it	1
But it's clear that most are there to make their fans cheer again or recapture the camaraderie of seasons past or prove to themselves and their colleagues that they still have it -- or something close to it	they hurl fireballs that smolder rather than burn, and relive old duels in the sun	4
But it's clear that most are there to make their fans cheer again or recapture the camaraderie of seasons past or prove to themselves and their colleagues that they still have it -- or something close to it	they hurl fireballs that smolder rather than burn, and relive old duels in the sun	2
that he "never looked back	he left baseball in 1978	4
It doesn't replace pitching in the majors	it proves to me that I would have been able to play if I'd stayed healthy	1
that I would have been able to play	I'd stayed healthy	2
These days he hustles to house-painting jobs in his Chevy pickup	training with the Tropics	4
he vividly recounts getting the Red Sox's Carl Yastrzemski to pop out to end the 1975 World Series, and repeating the feat against the Yankees' Roy White in 1976	sipping a beer after practice	4
Someone will get a heart attack	that will be the end of the whole story	3
Some of the game's reigning philosophers dislike the idea of middle-aged men attempting a young man's sport	the ballplayers disagree	1
No one has worked out the players' average age	most appear to be in their late 30s	1
Some have been training for months; others only recently left active status	there's pride	3
sweat dotting his brow	he prepares for some practice swings	4
But the ballplayers disagree	one can't help wonder whether the game will be just a little bit slower	1
At the weatherbeaten Pompano Beach municipal stadium, Mr. Blair, the 45-year-old former Oriole, knows his power isn't what it used to be	he adjusts	2
He's not thinking about home runs anymore, just base hits	how sweet it is," he says	1
At the weatherbeaten Pompano Beach municipal stadium, Mr. Blair, the 45-year-old former Oriole, knows his power isn't what it used to be	don't expect many complete games by pitchers -- perhaps three out of 288	3
it's no problem	you know how to slide	2
And don't expect many complete games by pitchers -- perhaps three out of 288 Expect "tricky" stuff from pitchers Expect brushbacks but no beanballs Even expect stolen bases	expect slower fastballs	3
I won't be throwing 90 mph	I will throw 80-plus	1
Stuffing a wad of Red Man into his cheek, he admits the fastball he brought into the majors in 1955 has become a slowball	he isn't worried	1
Hani Zayadi was appointed president and chief executive officer of this financially troubled department store chain	Mr. Zayadi was president and chief operating officer of Zellers Inc., a retail chain that is owned by Toronto-based Hudson's Bay Co., Canada's largest department store operator	4
Statistics Canada said service-industry output in August rose 0.4% from July	Statistics Canada reported that its industrial-product price index dropped 0.2% in September, its third consecutive monthly decline	3
Separately, Statistics Canada reported that its industrial-product price index dropped 0.2% in September, its third consecutive monthly decline	It reported a 2.6% decline in its raw-materials price index for September	3
it will buy back as much as 10% of its 2.4 million shares outstanding	the stock is undervalued	2
that he will relinquish the government's so-called golden share in the company	Jaguar shareholders agree	2
GM has been negotiating a friendly transaction with Jaguar that likely would involve joint ventures and an eventual stake of just under 30%	the government's action, which caught Jaguar management flat-footed, may scuttle the GM minority deal by forcing it to fight for all of Jaguar	1
The share price was languishing at about 400 pence	Ford's Sept. 19 announcement of its interest in a minority stake	4
Such a countermove could end Jaguar's hopes for remaining independent and British-owned	it isn't clear how long GM would be willing to fight Ford for Jaguar	1
It's either going to be a shootout	there only may be one player in town	3
It is very hard to justify paying a silly price for Jaguar	an out-and-out bidding war were to start now	2
Jaguar officials in the U.S. noted that Ford, as Jaguar's largest shareholder, now has the power to call for such a meeting	U.S. auto analysts noted that Ford is in the best position to benefit from the large number of Jaguar shares that have moved over the past month into the hands of arbitragers waiting for the highest takeover bid	3
Jaguar's own defenses against a hostile bid are weakened	fewer than 3% of its shares are owned by employees and management	2
Ford officials in the U.S. declined to comment on the British government's action or on any plans to call a special Jaguar shareholders meeting	GM officials said they, too, were surprised by the move, which left them to "consider all our options and explore matters further	1
it hasn't yet disclosed how many shares it now owns	GM has U.S. approval to buy up to 15% of Jaguar's stock	1
Jaguar was shocked by Mr. Ridley's decision	management had believed the government wouldn't lift the golden share without consulting the company first	2
the government wouldn't lift the golden share without consulting the company first	the government is taking a calculated risk	3
The British government retained the single golden share	selling its stake in Jaguar in	4
to clear the way	the playing field is level between all contestants	2
Sales of new cars in Europe fell 4.2% in September from a year earlier	analysts say the market could continue to soften in the months ahead	3
Tokyo stocks rebounded Tuesday from two consecutive daily losses in relatively active dealings	London shares rose, while trading in Frankfurt, West Germany, ended higher	3
London shares also rose	trading in Frankfurt, West Germany, ended higher	4
Advancing issues outnumbered decliners 542 to 362	208 issues were unchanged	1
Small-lot buying targeted at incentive-backed issues pushed up the Nikkei	other sectors failed to attract investor interest and remained sluggish	1
First domestic interest rates are likely to stay at higher levels	increased anticipation of inflation followed rising consumer prices reported last week	4
First domestic interest rates are likely to stay at higher levels	increased anticipation of inflation followed rising consumer prices reported last week	2
Third, oil prices haven't declined	supply has been increasing	1
Mitsubishi Estate ended the day at 2680, up 150	The gains sparked buying interest in other real-estate companies	3
In London, prices finished at intraday peaks, comforted by a reassuring early performance on Wall Street and news that the British government will waive its "golden share" in auto maker Jaguar	trading was very sketchy	1
But trading was very sketchy	investment decision makers remain wary from gyrations and upsets of recent weeks	2
In Tokyo, the Nikkei index of 225 selected issues was up 132.00 points to 35549.44 In London, prices finished at intraday peaks	the broad-based Financial Times 100-share index added 30.4 points to end at 2142.6, while reaching its minimum of 2120.5 a half hour into the session	4
In Tokyo, the Nikkei index of 225 selected issues was up 132.00 points to 35549.44 In London, prices finished at intraday peaks	the broad-based Financial Times 100-share index added 30.4 points to end at 2142.6, while reaching its minimum of 2120.5 a half hour into the session	3
Meanwhile, the broad-based Financial Times 100-share index added 30.4 points to end at 2142.6	reaching its minimum of 2120.5 a half hour into the session	3
In London, prices finished at intraday peaks, comforted by a reassuring early performance on Wall Street and news that the British government will waive its "golden share" in auto maker Jaguar	The market moved at early afternoon on news that Jaguar shares were being temporarily suspended at 746 pence ($11.80) each	3
The golden share was scheduled to expire at the beginning of	although the golden share has been waived, a hostile bidder for Jaguar would still have to alter the British concern's articles of association which ban shareholdings of more than 15%	1
But a hostile bidder for Jaguar would still have to alter the British concern's articles of association which ban shareholdings of more than 15%	the golden share has been waived	1
the market was still listening to the parliamentary debate on the economy	the London trading session drew to a close	4
On the Frankfurt Stock Exchange, share prices closed higher in fairly thin trading	selective buying by foreigners helped propel prices	2
Contributing to the market's reserved stance was the release later in the day of new data on the health of the U.S. economy, in the form of the U.S. index of leading indicators	the end of the month position-squaring might have also played a minor role	3
Contributing to the market's reserved stance was the release later in the day of new data on the health of the U.S. economy, in the form of the U.S. index of leading indicators	Additionally, the end of the month position-squaring might have played a minor role	3
According to reports released by the two government agencies, domestic consumer and wholesale prices each rose by 0.2% in October from the previous month	consumer prices for the first 10 months of 1989 surged by 5% and wholesale prices by 1.3%	2
As a result, consumer prices for the first 10 months of 1989 surged by 5%	wholesale prices by 1.3%	3
Typically, banks offer CD yields higher than those on Treasury bills, which are considered the safest short-term investments	when market interest rates move up rapidly, increases in bank CD yields sometimes lag	1
But increases in bank CD yields sometimes lag	market interest rates move up rapidly	2
The CD trend runs counter to the direction of short-term interest rates at the Treasury bill auction Monday	Most yields on short-term jumbo CDs, those with denominations over $90,000, moved in the opposite direction of Treasury bill yields	3
Most yields on short-term jumbo CDs, those with denominations over $90,000, also moved in the opposite direction of Treasury bill yields.	CDs sold through major broker-dealer networks were up slightly almost across the board	1
However, CDs sold through major broker-dealer networks were up slightly almost across the board	The average six-month CD in that category added 0.05 percentage point to 8.35%	3
It is offered by the flagship banks of New York's Manufacturers Hanover Corp. in the one-year maturity only	on average, the major California banks have the highest yields on CDs, according to Banxquote	1
I had to reach back to French 101	the monsieur avec clipboard leaned over my shoulder during the coffee phase of dinner and asked whether I wanted to ride in a montgolfiere	4
I was a last-minute (read interloping) attendee at a French journalism convention	so far the festivities had been taken up entirely by eating, drinking, smoking, sleeping and drinking	3
The man with the clipboard represented a halfhearted attempt to introduce a bit of les sportif into our itinerary	as the French embody a Zen-like state of blase when it comes to athletics (try finding a Nautilus machine in Paris), my fellow conventioners were having none of it	1
But my fellow conventioners were having none of it	the French embody a Zen-like state of blase when it comes to athletics	2
But as the French embody a Zen-like state of blase	it comes to athletics	2
Back in the U.S.A. this kind of chi-chi airborne activity wins heartwarmingly covetous responses	in Epinal, a gray 16th-century river town adjacent to France's Vosges mountain region, none of these Yankee-come-lately enthusiasms for things aloft was evident	1
The first thing anybody will tell you about ballooning is that it requires zip in the way of athletic prowess, or even a measure of derring-do	They will tell you that even if you hate heights, you can still balloon	3
that you can still balloon	you hate heights	1
even if you hate heights	that you can balloon	1
don't look down	you are ascending	4
In between came lots of coffee drinking	watching the balloons inflate	4
I followed its progress from the "chase car	it wasn't my turn in the balloon	4
the silver mists rise off the river	the French cows amble about the fields	3
It's hard not to feel that God's in his heaven with this kind of bird's-eye view of the world	your pilote in silly plaid beret kept pointing out how "belle" it all was	1
that you can't steer	neither can your pilot	3
Most balloonists seldom go higher than 2,000 feet	most average a leisurely 5-10 miles an hour	3
there is little sense of motion	the balloon is cruising along at a steady altitude	4
does one feel, well, airborne in a picnic basket	one is ascending	4
Attention," yelled our pilot	our basket plunged into the canal	4
We scuttled along for a few feet	he plunged us into the drink again	4
where we had the exquisite pleasure of scrambling out of the basket into the mud	the French half of our ballooning tag team scrambled in	4
Back in the chase car, we drove around some more, got stuck in a ditch, enlisted the aid of a local farmer to get out the trailer hitch and pull us out of the ditch	We rendezvoused with our balloon	4
It was the most exercise we'd had all morning	it was followed by our driving immediately to the nearest watering hole	3
where we watched a few French duffers maul the first tee	we sat under Cinzano umbrellas	4
A whole morning of ballooning and I had been off the ground barely 30 minutes	the event's envy-quotient back in the U.S.A. was near peerless	1
I couldn't resist rearing up on my soggy loafers and saluting	we streaked by a blase gendarme	4
that the plunge in the stock market might have provoked a steep fall in the currency that might have "unhinged financial markets	the Treasury hadn't intervened in foreign-exchange markets in September and early October to reduce the dollar's value	2
that if the Treasury hadn't intervened in foreign-exchange markets in September and early October to reduce the dollar's value, the plunge in the stock market might have provoked a steep fall in the currency that might have "unhinged financial markets	intervention is "highly visible," is taken seriously by financial markets and works better than "was recognized some time ago	3
to testify jointly with Mr. Mulford	and asked to appear after the Treasury official had completed his testimony	3
to appear	the Treasury official had completed his testimony	4
Mr. Mulford said reports of tension between the Treasury and Fed have been exaggerated, insisting that they involved "nuances	Mr. Johnson said that "in the scheme of things, these things are minor	3
The solution is stronger domestic growth {in Germany}	because the growth of the German economy has been stronger than expected it's difficult for the U.S. to argue that Germany ought to adopt more stimulative monetary and fiscal policies	1
But it's difficult for the U.S. to argue that Germany ought to adopt more stimulative monetary and fiscal policies	the growth of the German economy has been stronger than expected	2
Germany's trade surplus is largely with other European countries rather than with the U.S	nonetheless U.S. companies might be more successful in European markets if not for the German export push	1
Germany's trade surplus is largely with other European countries rather than with the U.S	But U.S. companies might be more successful in European markets if not for the German export push	1
In the past year, one inside director resigned	three others retired	3
Some U.S. allies are complaining that President Bush is pushing conventional-arms talks too quickly, creating a risk that negotiators will make errors that could affect the security of Western Europe for years	Concerns about the pace of the Vienna talks are being registered at the Pentagon	3
Mr. Bush has called for an agreement by next September at the latest	some American defense officials believe the North Atlantic Treaty Organization should take more time to examine the long-term implications of the options being considered	1
to keep some short-range nuclear weapons on their soil	Soviet armored forces are thinned out	4
that a reduction of NATO forces under a treaty will increase the possibility of a conventional Soviet attack	the West retains a residual force of nuclear weapons in Europe	3
So far, no ally has complained openly, preserving the impression that NATO is in line with the Bush position that a quick agreement bringing Soviet conventional forces down to parity with NATO is the West's top bargaining priority	even though NATO negotiators have only 10 months left under the Bush timetable, they are still wrestling over such seemingly fundamental questions as "What is a tank	1
they are still wrestling over such seemingly fundamental questions as "What is a tank?	But NATO negotiators have only 10 months left under the Bush timetable	1
the Soviets would have to destroy some 1,800 tanks	the U.S. would lose none	1
while the U.S. would lose none	it has no light tanks in Europe	2
The Soviets complicated the issue by offering to include light tanks, which are as light as 10 tons.	the issue is stickier than it seems	1
France, Britain and Italy all have light tanks they would like to keep out of the talks	some U.S. Army analysts worry that the proposed Soviet redefinition is aimed at blocking the U.S. from developing lighter, more transportable, high-technology tanks	3
The Soviets insisted that aircraft be brought into the talks	argued for exempting some 4,000 Russian planes because they are "solely defensive	4
for exempting some 4,000 Russian planes	they are "solely defensive	2
The dispute over that issue, according to one U.S. official, is a "potential treaty stopper	only President Bush and Soviet leader Mikhail Gorbachev may be able to resolve it	3
Accounting problems raise more knotty issues	Greece and Turkey are suspected of overstating their arsenals in hopes that they can emerge from the arms-reduction treaty with large remaining forces to deter each other	3
So what	you miss 50 tanks somewhere	2
that we ought to keep pressing ahead as quickly as possible	we can get that {Warsaw Pact} superiority brought down to parity	2
The venture would be the latest in Coke's rapid expansion of overseas investment	The move reflects Coke's eagerness to have a hand in developing the soft-drink markets in Pacific Basin countries	3
That's	when Coke looks to the Pacific area, it sees an economic and demographic gold mine	2
because it sees an economic and demographic gold mine	Coke looks to the Pacific area	4
In countries such as Taiwan, South Korea and Singapore, economies are growing, resulting in a rise in disposable income that consumers can use for soft drinks	unlike Europe and the U.S., where populations are aging, the Pacific Basin countries have growing proportions of youths -- the heaviest consumers of Coca-Cola and other sodas	3
how the joint venture would be structured	how much the company would invest in the transaction	3
it is too early to say how the joint venture would be structured, or how much the company would invest in the transaction	In the past Coke has typically taken a minority stake in such ventures	1
Coke has tended to increase its control	results were sluggish in a given country	4
In Singapore, per-capita consumption is about one-third that of the U.S	combining Fraser & Neave's own soft drinks with Coca-Cola's gives the Singapore company more than half the share of the soda market there	3
Giovanni Agnelli, a limited partnership that is the master holding company for Fiat's Agnelli family, owns approximately 75% of the shares in Istituto Finanziario Industriale	which owns approximately 40% of Fiat, Italy's biggest private-sector industrial group	3
Maria Sole Agnelli Teodorani, sister of Fiat Chairman Giovanni Agnelli, agreed to trade her shares in IFI for new ordinary shares in the limited partnership, which will give her control of 4.67% of Giovanni Agnelli & Co	The Aga Khan agreed to trade some of his stake in Luxembourg-based Ifint S.A., another Agnelli family company, for 7.45% of Giovanni Agnelli & Co. 's capital	4
Maria Sole Agnelli Teodorani, sister of Fiat Chairman Giovanni Agnelli, agreed to trade her shares in IFI for new ordinary shares in the limited partnership, which will give her control of 4.67% of Giovanni Agnelli & Co	The Aga Khan agreed to trade some of his stake in Luxembourg-based Ifint S.A., another Agnelli family company, for 7.45% of Giovanni Agnelli & Co. 's capital	3
The Aga Khan owns 10% of Ifint's capital	IFI owns 23%	3
As a result of the transaction Giovanni Agnelli & Co. will control 79.18% of IFI's ordinary shares	Its capital will be raised to 232.4 billion lire ($172.5 million) from the current 204.3 billion lire	3
The value of the two transactions wasn't disclosed	an IFI spokesman said no cash would change hands	1
who is a longtime family friend and frequently goes sailing with Mr. Agnelli	Mr. Agnelli and the Aga Khan have some business ties	3
Mr. Agnelli and the Aga Khan also have some business ties	that the current agreement could lead to further collaboration	3
that the current agreement could lead to further collaboration	Ifint earlier this year bought an 18% stake in Alisarda, the Aga Khan's airline, which flies between Italy and Sardinia	3
It unfortunately encourages others to engage in a highly dangerous and illegal activity that only a very few are doing now	it treats such activities in a frivolous, cavalier fashion, with total indifference to common sense and public safety	3
Under the agreement with the House and Senate leaders, the minimum wage would rise from the current $3.35 an hour to $4.25 an hour by April 1991	Employers could pay a subminimum "training wage" for 90 days to new workers who are up to 19 years old, and then for another 90 days if the company institutes a specific training program for the newcomers	3
Employers could also pay a subminimum "training wage" for 90 days to new workers who are up to 19 years old	and for another 90 days if the company institutes a specific training program for the newcomers	4
and then for another 90 days	the company institutes a specific training program for the newcomers	2
that the final minimum-wage increase will meet the standards set by Mr. Bush	they made a small compromise on the length of a training wage	1
Under the compromise, the $4.25 level would be reached nine months earlier	the training subminimum would be shorter, unless it is tied to a training plan	1
while the training subminimum would be shorter	it is tied to a training plan	3
that the training wage was a way of allowing employers to pay less than the minimum wage	new workers need far less than six months to be trained for their jobs	1
In the Senate, Edward Kennedy (D., Mass.), chairman of the Labor Committee, and Pete Domenici, (R., N.M.) ranking minority member of the Budget Committee, have been working on a compromise	their soundings showed that the Senate appeared to be heading toward enough strength to override another Bush veto	3
they might have done better	we'd held their feet to the fire	2
Democrats "yielded a great deal" on the size of the increase	concessions from the White House on the training wage, which he said make it "less harsh	1
The AFL-CIO said the compromise has "adequate safeguards, so the youth are not exploited and older workers are not displaced	which opposed the administration's subminimum idea	4
the compromise has "adequate safeguards	the youth are not exploited and older workers are not displaced	2
so the youth are not exploited	older workers are not displaced	3
Capital requirements will be declining	no new generating facilities will be required for several years	3
The price wasn't disclosed	one analyst estimated that it was $150 million	1
that disposing of the carpet business would improve "total financial performance	The move would allow the company to concentrate on core businesses, which include ceramic tile, floor coverings and furniture	3
The move also would allow the company to concentrate on core businesses, which include ceramic tile, floor coverings and furniture	such a sale could help Armstrong reassure its investors and deter the Belzbergs	3
Recently it upgraded its plants	it could make stain-resistant products with higher quality dyes	2
The government's primary economic-forecasting gauge rose a slight 0.2% in September	the report offered little new information on the degree to which the U.S. economy is slowing	1
The small increase in the index of leading indicators does lend support to the view that the economy has slowed noticeably	it doesn't give much of a clue as to whether a recession is on the horizon	1
the decline supports other indications that the drop in mortgage rates earlier this year has had only a limited beneficial effect on the housing market	September's weakness followed two strong months for home sales	1
The September drop was the largest since a 19% drop in January 1982	monthly changes in this measure are even less reliable than those in other economic indicators	1
it is 90% confident only that new-home sales fell somewhere between 5% and 23% during the month	the figures are based on a small sample	2
it is 90% confident only that new-home sales fell somewhere between 5% and 23% during the month	it takes four months to establish a trend	3
In another report yesterday, the Commerce Department said sales of new single-family houses plunged 14% in September to an annual rate of 618,000 from 719,000 in August.	the National Association of Manufacturers said yesterday a recent poll of 53 executives on its board found that 61% don't expect a recession to occur until 1991 or later	4
In another report yesterday, the Commerce Department said sales of new single-family houses plunged 14% in September to an annual rate of 618,000 from 719,000 in August.	the National Association of Manufacturers said yesterday a recent poll of 53 executives on its board found that 61% don't expect a recession to occur until 1991 or later	3
60% of the executives said they would prefer that the Fed keep inflation-fighting as its top priority even if that means higher rates	manufacturers often are quick to call for lower interest rates	1
they would prefer that the Fed keep inflation-fighting as its top priority	that means higher rates	1
The average interest rate rose to 8.3875% at Citicorp's $50 million weekly auction of 91-day commercial paper, or corporate IOUs, from 8.337% at last week's sale	that the average rate rose to 8.0087% at its $50 million auction of 182-day commercial paper from 7.962% at last week's sale	3
An imaginative novelist writing a thriller about amateur spy-chasing might invent a Clifford Stoll	it's unlikely	1
but it's unlikely	It's unnecessary	3
He is 37, an astronomer with impressive credentials, and something of a genius at making computers do his bidding	He is an entertaining writer	3
He probably didn't penetrate any top-secret files	the KGB in East Berlin was willing to pay two of his associates, Peter Carl and Dirk Brezinski, $15,000 for some of the material Hess collected	1
he could enter Unix and become a "super-user," with access to everything	his cuckoo's egg was laid	4
